"astro-ph/9612210","Aparna Venkatesan","Aparna Venkatesan, M. Coleman Miller, and Angela V. Olinto (The
  University of Chicago)","Constraints on the Production of Ultra-High-Energy Cosmic Rays by
  Isolated Neutron Stars","12 pages, LaTex (aaspp4.sty), 1 figure, appears here as published in
  The Astrophysical Journal; compared to previous version, this has minor
  writing changes, numerical estimates slightly changed in Sections 3.1, 3.2,
  4.3.3, revision of numbers in Section 4.3.2","Astrophys.J. 484 (1997) 323-328","10.1086/304304",,"astro-ph",,"  The energetics, spectrum, and composition of cosmic rays with energies below
about $10^{15}$ eV are fairly well explained by models involving supernova
shocks. In contrast, no widely accepted theory exists for the origin of
ultra-high energy cosmic rays (UHECRs), which have energies above $10^{15}$ eV.
Instead of proposing a specific model, here we place strong constraints on any
model of UHECRs involving isolated neutron stars (no companions). We consider
the total power requirements and show that the only viable power source
associated with isolated neutron stars is rotation. Mechanisms based on
accretion from the interstellar medium fall short of the necessary power
despite the most optimistic assumptions. Power considerations also demonstrate
that not enough rotational energy is tapped by a ""propeller""-like acceleration
of interstellar matter. The most promising source of energy is rotational
spindown via magnetic braking. We examine microphysical energy loss processes
near magnetized neutron stars and conclude that the most likely site for
yielding UHECRs from isolated neutron stars is near or beyond the light
cylinder.
","[{""version"":""v1"",""created"":""Sat, 21 Dec 1996 21:18:43 GMT""},{""version"":""v2"",""created"":""Mon, 4 Aug 1997 21:09:19 GMT""}]","2009-10-28"
"astro-ph/9612211","Ray Protheroe","W. Bednarek and R.J. Protheroe","Modulation of AGN gamma rays by interaction with X-rays from an
  accretion disk hot spot","6 pages, 5 figures, submitted to MNRAS, uses mn.sty",,"10.1093/mnras/290.1.139","ADP-AT-96-13","astro-ph",,"  We have developed a model for the variability of gamma ray emission in jets
of active galactic nuclei in which the variability arises as a result of
photon-photon pair production interactions with X-rays emitted by a hot spot in
the inner part of the accretion disk. As the hot spot orbits around the central
engine, the amount of absorption varies periodically. Our model may account for
the observed variability of TeV emission from Markarian 421 and other blazars
detected by the EGRET instrument on the Compton Gamma Ray Observatory, as well
as correlated variations of X-ray and TeV gamma flux from Markarian 421.
Quasi-periodic variations observed in Markarian 421 enable us to place an upper
limit on the black hole mass of (2-30) times 10^8 solar masses.
","[{""version"":""v1"",""created"":""Sun, 22 Dec 1996 02:39:24 GMT""}]","2015-06-24"
"astro-ph/9612212","Ray Protheroe","R. J. Protheroe","Origin and propagation of the highest energy cosmic rays","27 pages, 10 figures, uses sprocl.sty, in Towards the Millennium in
  Astrophysics: Problems and Prospects, Erice 1996, eds. M.M. Shapiro and J.P.
  Wefel (World Scientific, Singapore), in press",,,"ADP-AT-96-14","astro-ph",,"  In this lecture I give an overview of shock acceleration, interactions of
high energy cosmic rays with, and propagation through, the background
radiation, and the resulting electron-photon cascade. I argue that while the
origin of the highest energy cosmic rays is still uncertain, it is not
necessary to invoke exotic models such as emission by topological defects to
explain the existing data. It seems likely that shock acceleration at
Fanaroff-Riley Class II radio galaxies can account for the existing data.
However, new cosmic ray data, as well as better estimates of the extragalactic
radiation fields and magnetic fields will be necessary before we will be
certain of the origin of the highest energy particles occurring in nature.
","[{""version"":""v1"",""created"":""Sun, 22 Dec 1996 06:36:59 GMT""}]","2007-05-23"
"astro-ph/9612213","Ray Protheroe","R.J. Protheroe","Astrophysical sources of high energy neutrinos","8 pages, 3 figures, uses sprocl.sty, in Towards the Millennium in
  Astrophysics: Problems and Prospects}, Erice 1996, eds. M.M. Shapiro and J.P.
  Wefel (World Scientific, Singapore), in press",,,"ADP-AT-96-15","astro-ph",,"  I give a brief critical review of the predicted intensity of diffuse high
energy neutrinos of astrophysical origin over the energy range from 10^12 eV to
10^24 eV. Neutrinos from interactions of galactic cosmic rays with interstellar
matter are guaranteed, and the intensity can be reliably predicted to within a
factor of about 2 up to 10^17 eV. Somewhat less certain are intensities in the
same energy range from cosmic rays escaping from normal galaxies or active
galactic nuclei (AGN) and interacting with intracluster gas. At higher
energies, neutrinos will be produced by interactions of extragalactic cosmic
rays with the microwave background. Other sources, such as AGN, in particular
blazars, and topological defects, are more speculative. However, searches for
neutrinos from all of these potential sources should be made because their
observation would have important implications for high energy astrophysics and
cosmology.
","[{""version"":""v1"",""created"":""Sun, 22 Dec 1996 06:57:37 GMT""}]","2007-05-23"
"astro-ph/9612214","Samar Abbas","Samar Abbas and Afsar Abbas","Volcanogenic Dark Matter and Mass Extinctions","6 pages in Latex file","Astropart.Phys.8:317-320,1998","10.1016/S0927-6505(97)00051-0",,"astro-ph hep-ph physics.bio-ph physics.geo-ph",,"  The passage of the Earth through dense clumps of dark matter, the presence of
which are predicted by certain cosmologies, would produce large quantities of
heat in the interior of this planet through the capture and subsequent
annihilation of dark matter particles. This heat can cause large-scale
volcanism which could in turn have caused the extinction of the dinosaurs and
other mass extinctions. The periodicity of such volcanic outbursts agrees with
the frequency of palaeontological mass extinctions as well as the observed
periodicity in the occurrence of the largest flood basalt provinces on the
globe.
","[{""version"":""v1"",""created"":""Sun, 22 Dec 1996 09:57:22 GMT""}]","2011-05-23"
"gr-qc/9612063","Peter Anninos","Tony Rothman and Peter Anninos","A Phase Space Approach to the Gravitational Arrow of Time","20 pages. To appear in Physical Review D","Phys.Rev.D55:1948-1963,1997","10.1103/PhysRevD.55.1948",,"gr-qc",,"  We attempt to find a function that characterizes gravitational clumping and
that increases monotonically as inhomogeneity increases. We choose $S =
ln\Omega$ as the candidate ``gravitational entropy'' function, where $\Omega$
is the phase-space volume below the Hamiltonian H of the system under
consideration. We compute $\Omega$ for transverse electromagnetic waves and for
gravitational wave, radiation and density perturbations in an expanding FLRW
universe. These calculations are carried out in the linear regime under the
assumption that the phases of the oscillators comprising the system are random.
Entropy is thus attributed to the lack of knowledge of the exact field
configuration. We find that $\Omega$, and hence $ln\Omega$ behaves as required.
We also carry out calculations for Bianchi IX cosmological models and find
that, even in this homogeneous case, the function can be interpreted sensibly.
We compare our results with Penrose's C^2 hypothesis. Because S is defined to
resemble the fundamental statistical mechanics definition of entropy, we are
able to recover the entropy in a variety of familiar circumstances including,
evidently, black-hole entropy. The results point to the utility of the
relativistic ADM Hamiltonian formalism in establishing a connection between
general relativity and statistical mechanics, although fully nonlinear
calculations will need to be performed to remove any doubt.
","[{""version"":""v1"",""created"":""Sat, 21 Dec 1996 20:23:02 GMT""}]","2011-09-09"
"hep-ph/9612446","Robert Fleischer","Robert Fleischer","CP Violation and the Role of Electroweak Penguins in Non-leptonic B
  Decays","Invited review article for publication in International Journal of
  Modern Physics A. 62 pages, LaTeX, 16 figures. The complete paper is also
  available via anonymous ftp at ftp://www-ttp.physik.uni-karlsruhe.de/ , or
  via www at http://www-ttp.physik.uni-karlsruhe.de/cgi-bin/preprints/","Int.J.Mod.Phys.A12:2459-2522,1997","10.1142/S0217751X97001432","TTP96-58","hep-ph",,"  The phenomenon of CP violation in the B system and strategies for extracting
CKM phases are reviewed. We focus both on general aspects and on some recent
developments including CP-violating asymmetries in B_d decays, the B_s system
in light of a possible width difference $\Delta\Gamma_s$, charged B decays, and
SU(3) relations among certain transition amplitudes. In order to describe the
relevant non-leptonic B decays, low energy effective Hamiltonians calculated
beyond the leading logarithmic approximation are used. Special emphasis is
given to the role of electroweak penguin operators in such transitions. These
effects are analyzed both within a general framework and more specifically in
view of the theoretical cleanliness of methods to determine CKM phases.
Strategies for obtaining insights into the world of electroweak penguins are
discussed.
","[{""version"":""v1"",""created"":""Sun, 22 Dec 1996 11:45:09 GMT""}]","2014-11-17"
"hep-th/9612220","Ergin Sezgin","E. Sezgin","Chiral Reductions of the M-Algebra","Contribution to the Proceedings of the Trieste Summer School on High
  Energy Physics and Cosmology, June 10-July 26, 1996. Dedicated to the memory
  of Abdus Salam. 11 pages, requires sprocl.sty (World Scientific)",,,"CTP TAMU-78/96","hep-th",,"  We present the chiral truncation of the eleven dimensional M-algebra down to
ten and six dimensions. In ten dimensions, we obtain a topological extension of
the $(1,0)$ Poincar\'e superalgebra that includes super one-form and super
five-form charges. Closed super three- and seven-forms associated with this
algebra are constructed. In six dimensions, we obtain a topological extension
of the $(2,0)$ and $(1,0)$ Poincar\'e superalgebras. The former includes a
quintet of super one-form charges, and a decuplet of super three-form charges,
while the latter includes a triplet of super three-form charges.
","[{""version"":""v1"",""created"":""Sun, 22 Dec 1996 03:30:25 GMT""}]","2007-05-23"
"hep-th/9612221","Hugo Compean","Hugo Garcia-Compean, Jerzy F. Plebanski (CINVESTAV-IPN)","On the Weyl-Wigner-Moyal Description of SU$(\infty)$ Nahm Equations","21 pages, phyzzx file, no figures, version to appear in Phys. Lett. A","Phys.Lett. A234 (1997) 5-12","10.1016/S0375-9601(97)00546-X","CINVESTAV-FIS 53/96","hep-th",,"  We show how the reduced Self-dual Yang-Mills theory described by the Nahm
equations can be carried over to the Weyl-Wigner-Moyal formalism employed
recently in Self-dual gravity. Evidence of the existence of correspondence
between BPS magnetic monopoles and space-time hyper-K\""ahler metrics is given.
","[{""version"":""v1"",""created"":""Sat, 21 Dec 1996 20:00:38 GMT""},{""version"":""v2"",""created"":""Wed, 8 Jan 1997 23:50:13 GMT""},{""version"":""v3"",""created"":""Thu, 6 Feb 1997 02:36:45 GMT""},{""version"":""v4"",""created"":""Sat, 5 Apr 1997 18:52:04 GMT""},{""version"":""v5"",""created"":""Sat, 27 Sep 1997 20:31:36 GMT""}]","2009-10-30"
"hep-th/9612222","Miao Li","Miao Li","Strings from IIB Matrices","11 pages, harvmac, a number of 2\pi factors are inserted, a reference
  is added","Nucl.Phys. B499 (1997) 149-158","10.1016/S0550-3213(97)00353-2","EFI-96-49","hep-th",,"  D-string action is constructed from IIB matrices, a spacetime commutator is
essential in this construction. This hints at the central role of the spacetime
uncertainty relation in a unified formulation of strings. Vertex operators of
fundamental strings are also discussed.
","[{""version"":""v1"",""created"":""Sun, 22 Dec 1996 00:28:18 GMT""},{""version"":""v2"",""created"":""Mon, 30 Dec 1996 18:12:06 GMT""}]","2015-06-26"
